"filename", "language", "Markdown", "Lua", "comment", "blank", "total"
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\Client\IMGUI\_Styler.lua", "Lua", 0, 345, 78, 64, 487
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\Common\_FileUtils.lua", "Lua", 0, 73, 18, 15, 106
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\Common\_Index.lua", "Lua", 0, 4, 0, 1, 5
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\Common\_Logger.lua", "Lua", 0, 194, 6, 33, 233
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\Common\_TableUtils.lua", "Lua", 0, 174, 46, 29, 249
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\Common\_Translator.lua", "Lua", 0, 11, 0, 3, 14
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\IDEHelpers\Ext.Osiris.RegisterListener.lua", "Lua", 0, 2, 637, 5, 644
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\IDEHelpers\ExtIdeHelpers.lua", "Lua", 0, 11008, 17268, 5644, 33920
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\IDEHelpers\Osi.Events.lua", "Lua", 0, 316, 816, 317, 1449
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\IDEHelpers\Osi.lua", "Lua", 0, 983, 2797, 1007, 4787
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\Networking\Channels.lua", "Lua", 0, 6, 19, 7, 32
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\README.md", "Markdown", 22, 0, 0, 17, 39
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\_CustomEntitySerializer.lua", "Lua", 0, 74, 6, 6, 86
"d:\Mods\BG3 Modder MultiTool\Absolutes_Laboratory\Absolutes_Laboratory\Mods\Absolutes_Laboratory\ScriptExtender\Lua\Utilities\_ECSPrinter.lua", "Lua", 0, 327, 54, 54, 435
"Total", "-", 22, 36062, 24012, 10928, 71024
